section,item,field,value,min,max,reasonable_range,out_of_range_count,passed,handling_strategy,notes
dataset_summary,raw_sample_count,,3500,,,,,yes,No row deletion was applied.,Original dataset row count.
dataset_summary,raw_field_count,,24,,,,,yes,No column deletion was applied.,Original dataset column count.
dataset_summary,missing_value_total,,0,,,,,yes,Model pipelines use imputation if needed; no record was removed.,Total missing cells in the raw dataset.
dataset_summary,duplicate_row_count,,0,,,,,yes,No row deletion was required after duplicate check.,Exact duplicate rows in the raw dataset.
dataset_summary,duplicate_id_count,id,0,,,,,yes,No id-based row deletion was required.,Duplicate identifiers in the raw dataset.
range_check,numeric_reasonable_range,age,,13.0,50.0,"[0, 120]",0,yes,检查后未发现需删除记录。,Reasonable range screening for report-quality preprocessing evidence.
range_check,numeric_reasonable_range,device_hours_per_day,,0.28,17.16,"[0, 24]",0,yes,检查后未发现需删除记录。,Reasonable range screening for report-quality preprocessing evidence.
range_check,numeric_reasonable_range,phone_unlocks,,9.0,374.0,"[0, 1000]",0,yes,检查后未发现需删除记录。,Reasonable range screening for report-quality preprocessing evidence.
range_check,numeric_reasonable_range,notifications_per_day,,22.0,1211.0,"[0, 1440]",0,yes,检查后未发现需删除记录。,Reasonable range screening for report-quality preprocessing evidence.
range_check,numeric_reasonable_range,social_media_mins,,0.0,631.0,"[0, 1440]",0,yes,检查后未发现需删除记录。,Reasonable range screening for report-quality preprocessing evidence.
range_check,numeric_reasonable_range,study_mins,,0.0,418.0,"[0, 1440]",0,yes,检查后未发现需删除记录。,Reasonable range screening for report-quality preprocessing evidence.
range_check,numeric_reasonable_range,physical_activity_days,,0.0,7.0,"[0, 7]",0,yes,检查后未发现需删除记录。,Reasonable range screening for report-quality preprocessing evidence.
range_check,numeric_reasonable_range,sleep_hours,,3.0,11.00456608768657,"[0, 24]",0,yes,检查后未发现需删除记录。,Reasonable range screening for report-quality preprocessing evidence.
range_check,numeric_reasonable_range,sleep_quality,,1.0,5.0,"[1, 5]",0,yes,检查后未发现需删除记录。,Reasonable range screening for report-quality preprocessing evidence.
range_check,numeric_reasonable_range,productivity_score,,33.0,95.0,"[0, 100]",0,yes,检查后未发现需删除记录。,Reasonable range screening for report-quality preprocessing evidence.
range_check,numeric_reasonable_range,digital_dependence_score,,5.6,89.2,"[0, 100]",0,yes,检查后未发现需删除记录。,Reasonable range screening for report-quality preprocessing evidence.
engineered_feature_check,feature_generated,social_media_hours,yes,0.0,10.516666666666667,,,yes,Generated by add_behavior_features from behavior/lifestyle variables.,Feature engineering success check.
engineered_feature_check,feature_generated,study_hours,yes,0.0,6.966666666666667,,,yes,Generated by add_behavior_features from behavior/lifestyle variables.,Feature engineering success check.
engineered_feature_check,feature_generated,notifications_per_device_hour,yes,1.6794961511546538,1402.0833333333335,,,yes,Generated by add_behavior_features from behavior/lifestyle variables.,Feature engineering success check.
engineered_feature_check,feature_generated,unlocks_per_device_hour,yes,1.9313304721030042,139.6039603960396,,,yes,Generated by add_behavior_features from behavior/lifestyle variables.,Feature engineering success check.
engineered_feature_check,feature_generated,device_to_sleep_ratio,yes,0.038137836863034666,5.4366666666666665,,,yes,Generated by add_behavior_features from behavior/lifestyle variables.,Feature engineering success check.
engineered_feature_check,feature_generated,activity_sleep_interaction,yes,0.0,75.13234919265383,,,yes,Generated by add_behavior_features from behavior/lifestyle variables.,Feature engineering success check.
engineered_feature_check,feature_generated,social_to_study_ratio,yes,0.0,611.0,,,yes,Generated by add_behavior_features from behavior/lifestyle variables.,Feature engineering success check.
feature_selection,classification_leakage_control,high_risk_flag,anxiety_score; depression_score; stress_level; happiness_score; focus_score; productivity_score; digital_dependence_score,,,,,yes,Classification excludes leakage/outcome columns and id.,Main classification models do not use mental-state or efficiency outcome fields.
feature_selection,regression_outcome_control,productivity_score; digital_dependence_score,high_risk_flag and other outcome fields excluded,,,,,yes,"Regression excludes high_risk_flag, mental-state outcomes, and the alternate target.",Prevents direct use of labels or related outcome fields as predictors.
feature_selection,clustering_behavior_lifestyle_only,clustering feature matrix,digital behavior and lifestyle numeric features only,,,,,yes,Clustering uses explicit behavior/lifestyle whitelist from feature_engineering.py.,Background categories and outcome variables are only used for profile interpretation.
