item_id,caption,current_type,decision,source_file,analytical_question,evidence_used,concrete_conclusion,body_reference_found,revision_note
Table1,Raw Dataset Preview,table,keep,native Word table from raw CSV,Does the report start from raw data?,raw CSV preview,"The raw table contains behavior, lifestyle, and target fields in one structured dataset.",True,Converted to continuous analysis paragraph and explicit body reference.
Table2,Dataset Fields,table,keep,native Word table from raw CSV,"Which fields are inputs, background fields, or targets?",field dtype and role mapping,Target and outcome-style fields can be separated before modeling.,True,Converted to continuous analysis paragraph and explicit body reference.
Table3,Missing Value Check,table,keep,native Word table from raw CSV,Are missing values present?,missing counts by column,All 24 fields contain zero missing values.,True,Converted to continuous analysis paragraph and explicit body reference.
Table4,Duplicate Check,table,keep,native Word table from raw CSV,Are duplicated records present?,duplicate row/id counts,"All 3,500 records can be retained.",True,Converted to continuous analysis paragraph and explicit body reference.
Table5,Range and Rationality Check,table,keep,native Word table from raw CSV,Are key numeric ranges reasonable?,min/max/mean by field,Wide but interpretable ranges support later modeling without deletion.,True,Converted to continuous analysis paragraph and explicit body reference.
Table6,Engineered Features Preview,table,keep,native Word table from processed CSV,Were engineered features generated correctly?,processed feature preview,Behavior-intensity variables are available for modeling.,True,Converted to continuous analysis paragraph and explicit body reference.
Table7,Feature Selection and Leakage Control,table,keep,native Word table,Which fields are excluded for each task?,task-specific exclusion rules,Outcome-style fields are controlled before modeling.,True,Converted to continuous analysis paragraph and explicit body reference.
Table8,PCA Explained Variance,table,keep,results/pca_explained_variance.csv,How much variance does PCA summarize?,explained variance ratios,"PC1+PC2 explain 42.41%, so PCA is auxiliary.",True,Converted to continuous analysis paragraph and explicit body reference.
Table9,Descriptive Statistical Summary,table,keep,native Word table from raw CSV,What are the variable ranges and scales?,descriptive statistics,Different scales explain why scaling is needed for PCA and clustering.,True,Converted to continuous analysis paragraph and explicit body reference.
Fig1,High Risk vs No Risk Sample Structure,figure,revise,figures/final_report/fig1_high_risk_no_risk_distribution.png,Is the classification target imbalanced?,class counts and ratios,"High Risk is 20.14%, so Accuracy alone can be misleading.",True,Converted to continuous analysis paragraph and explicit body reference.
Fig2,Core Digital Lifestyle Feature Distributions,figure,revise,figures/final_report/fig2_core_numeric_distributions.png,How are core numeric variables distributed?,histograms and ranges,Notification and unlock variables have wider ranges than sleep variables.,True,Converted to continuous analysis paragraph and explicit body reference.
Fig3,Correlation Structure of Digital Lifestyle Variables,figure,revise,figures/final_report/fig3_correlation_heatmap.png,Which variables are correlated with outcomes?,correlation matrix,digital_dependence_score has stronger behavior correlations than productivity_score.,True,Converted to continuous analysis paragraph and explicit body reference.
Fig4,Behavioral Difference Between High Risk and No Risk Groups,figure,replace,figures/final_report/fig4_high_vs_no_risk_boxplots.png,Which behaviors differ by risk group?,results/high_risk_group_comparison.csv,"Device hours, digital dependence, and lower sleep hours show the largest group differences, but distributions overlap.",True,Converted to continuous analysis paragraph and explicit body reference.
